match_id,start_time,end_time,last_death_time,deaths
1,259,291,276,3
1,327,368,353,3
1,452,504,489,3
1,772,820,805,3
1,867,905,890,3
1,924,984,969,9
1,1203,1253,1238,11
1,1372,1416,1401,3
1,1431,1488,1473,13
1,1688,1723,1708,3
1,2049,2086,2071,4
1,2148,2199,2184,12
1,2318,2348,2333,5
1,2472,2528,2513,10
1,2563,2593,2578,6
2,330,370,355,3
2,466,517,502,3
2,677,719,704,5
2,830,875,860,4
2,999,1054,1039,4
2,1337,1385,1370,4
2,1498,1549,1534,5
2,1974,2010,1995,5
2,2429,2467,2452,5
2,2591,2633,2618,3
2,2645,2695,2680,4
3,603,679,664,7
3,684,734,719,3
3,841,879,864,4
3,1035,1100,1085,5
3,1166,1219,1204,5
3,1369,1418,1403,4
3,1676,1727,1712,8
3,1811,1859,1844,6
3,1983,2056,2041,6
3,2105,2148,2133,6
3,2243,2276,2261,3
3,2351,2385,2370,3
3,2513,2564,2549,4
3,2684,2736,2721,6
3,2769,2833,2818,6
3,3034,3087,3072,9
4,916,968,953,5
4,1046,1083,1068,3
4,1347,1390,1375,3
4,1542,1592,1577,5
4,1619,1651,1636,3
4,1855,1897,1882,4
5,244,283,268,3
5,465,521,506,5
5,620,667,652,3
5,680,726,711,3
5,754,807,792,8
5,849,914,899,6
5,987,1021,1006,3
5,1090,1135,1120,5
5,1160,1213,1198,5
5,1247,1282,1267,3
5,1358,1404,1389,4
5,1408,1458,1443,5
5,1479,1526,1511,5
6,92,123,108,3
6,290,331,316,3
6,582,621,606,3
6,810,851,836,5
6,1196,1243,1228,3
6,1254,1302,1287,4
6,1656,1692,1677,4
6,1764,1806,1791,4
6,1884,1958,1943,6
6,2093,2138,2123,3
7,300,355,340,5
7,424,454,439,3
7,798,841,826,5
7,1178,1213,1198,4
7,1321,1370,1355,4
7,1485,1518,1503,3
7,1519,1594,1579,10
7,1738,1790,1775,3
7,1778,1825,1810,5
7,1850,1894,1879,3
7,2007,2066,2051,7
7,2252,2294,2279,5
8,588,630,615,4
8,1036,1084,1069,4
8,1122,1161,1146,5
8,1250,1299,1284,8
8,1463,1501,1486,3
8,1526,1563,1548,3
8,1550,1601,1586,5
8,1703,1744,1729,6
8,1775,1812,1797,3
8,1924,1967,1952,6
9,668,718,703,5
9,904,950,935,5
9,1037,1077,1062,4
9,1309,1371,1356,6
9,1468,1535,1520,9
9,1925,1972,1957,5
9,2011,2073,2058,6
9,2156,2199,2184,3
9,2291,2341,2326,4
9,2393,2430,2415,5
9,2532,2577,2562,3
9,2701,2735,2720,3
9,2887,2941,2926,4
10,679,723,708,4
10,894,931,916,4
10,1047,1087,1072,4
10,1183,1218,1203,3
10,1281,1316,1301,4
10,1403,1454,1439,3
10,1468,1519,1504,5
11,452,491,476,3
11,551,589,574,3
11,1116,1151,1136,3
11,1301,1354,1339,5
11,1768,1837,1822,8
11,1946,1987,1972,4
11,2394,2447,2432,7
11,2733,2773,2758,7
11,2941,2988,2973,7
11,3142,3179,3164,7
11,3257,3289,3274,4
12,536,578,563,3
12,932,980,965,3
12,1145,1186,1171,4
12,1175,1218,1203,3
12,1531,1584,1569,3
12,1659,1693,1678,3
12,2167,2225,2210,7
12,2417,2469,2454,7
12,2695,2741,2726,5
12,2850,2900,2885,6
12,2981,3057,3042,9
12,3172,3224,3209,4
12,3209,3257,3242,3
12,3344,3397,3382,5
12,3519,3557,3542,3
12,3574,3608,3593,3
12,3692,3732,3717,3
12,3956,4005,3990,3
13,497,551,536,4
13,672,724,709,4
13,872,905,890,4
13,1143,1204,1189,5
13,1880,1914,1899,3
13,2390,2431,2416,7
14,543,589,574,4
14,932,981,966,4
14,1185,1249,1234,5
14,1353,1398,1383,4
14,1535,1575,1560,3
14,1598,1664,1649,5
14,1699,1744,1729,6
15,621,666,651,3
15,881,919,904,4
15,1072,1114,1099,3
15,1415,1461,1446,3
15,1654,1695,1680,5
15,1813,1857,1842,4
15,2074,2136,2121,7
15,2220,2264,2249,4
15,2418,2470,2455,4
15,2500,2566,2551,8
15,2608,2675,2660,6
15,2708,2754,2739,4
15,2780,2838,2823,4
15,3035,3067,3052,3
15,3057,3102,3087,3
16,445,496,481,3
16,933,973,958,3
16,1022,1063,1048,3
16,1134,1176,1161,5
16,1405,1465,1450,6
16,1503,1557,1542,4
16,1742,1775,1760,3
16,1802,1850,1835,3
16,2063,2120,2105,7
16,2354,2400,2385,4
16,2627,2674,2659,6
16,2802,2838,2823,3
16,3186,3230,3215,3
16,3237,3281,3266,5
17,1012,1054,1039,4
17,1042,1092,1077,4
17,1212,1256,1241,6
17,1428,1473,1458,3
17,1547,1596,1581,4
17,1854,1895,1880,4
17,1930,1971,1956,5
17,2053,2104,2089,4
17,2478,2523,2508,5
17,2782,2823,2808,3
17,3077,3131,3116,6
17,3233,3269,3254,3
17,3582,3640,3625,6
17,3672,3714,3699,4
18,341,387,372,3
18,1002,1050,1035,3
18,1094,1149,1134,5
18,1296,1339,1324,5
18,2079,2119,2104,3
18,2166,2209,2194,3
18,2751,2808,2793,6
19,1416,1461,1446,5
19,1661,1716,1701,6
19,1787,1826,1811,3
19,2028,2095,2080,9
19,2203,2247,2232,6
20,835,877,862,4
20,1011,1050,1035,4
20,1052,1095,1080,4
20,1589,1637,1622,4
20,1768,1817,1802,6
20,1956,1998,1983,5
20,1987,2033,2018,3
20,2190,2231,2216,5
21,755,805,790,5
21,1008,1058,1043,5
21,1309,1380,1365,7
21,1620,1698,1683,10
21,1875,1915,1900,4
21,1976,2015,2000,3
22,525,562,547,3
22,844,900,885,5
22,1008,1051,1036,3
22,1192,1228,1213,3
22,1530,1576,1561,4
22,1684,1739,1724,6
22,1865,1899,1884,4
22,1958,2001,1986,5
22,2078,2121,2106,4
22,2335,2392,2377,5
22,2424,2467,2452,4
22,2528,2568,2553,4
22,2629,2668,2653,3
22,2715,2759,2744,5
23,-10,34,19,5
23,175,216,201,3
23,397,434,419,3
23,502,548,533,3
23,579,626,611,4
23,841,893,878,5
23,1000,1052,1037,4
23,1291,1337,1322,5
23,2279,2332,2317,5
23,2349,2382,2367,3
23,2472,2518,2503,7
23,2689,2756,2741,6
24,506,541,526,3
24,676,715,700,3
24,797,842,827,4
24,1216,1255,1240,4
24,1315,1353,1338,4
24,1408,1457,1442,6
24,1525,1560,1545,3
24,1691,1735,1720,3
24,1867,1903,1888,3
24,1889,1933,1918,3
24,2121,2176,2161,6
24,2300,2349,2334,5
24,2459,2501,2486,4
24,2600,2659,2644,5
24,2734,2779,2764,3
24,2908,2948,2933,4
25,848,882,867,3
25,1148,1211,1196,6
25,1241,1310,1295,5
25,1328,1366,1351,4
25,1447,1499,1484,4
25,1887,1924,1909,4
25,1934,1974,1959,3
25,2096,2136,2121,3
25,2158,2213,2198,5
25,2312,2366,2351,4
26,951,1000,985,3
26,1054,1087,1072,3
27,347,391,376,3
27,780,843,828,8
27,920,952,937,3
27,1030,1096,1081,5
27,1172,1203,1188,3
27,1239,1293,1278,5
27,1512,1547,1532,4
27,1807,1872,1857,7
27,1865,1910,1895,3
27,2020,2069,2054,4
28,-6,38,23,3
28,477,531,516,4
28,751,786,771,4
28,896,955,940,4
28,1046,1097,1082,4
28,1173,1233,1218,7
28,1548,1597,1582,4
28,1591,1653,1638,5
28,1653,1687,1672,3
28,1815,1865,1850,4
28,1976,2019,2004,4
28,2140,2178,2163,4
29,538,578,563,3
29,867,909,894,3
29,1025,1072,1057,3
29,1139,1186,1171,4
29,1382,1465,1450,8
29,1521,1574,1559,5
29,1805,1846,1831,4
29,1893,1934,1919,3
29,2018,2058,2043,3
29,2141,2208,2193,4
29,2244,2298,2283,6
29,2396,2437,2422,3
29,2493,2536,2521,3
29,2824,2889,2874,7
29,3324,3363,3348,3
30,428,471,456,3
30,734,789,774,6
30,865,898,883,3
30,985,1029,1014,4
30,1027,1063,1048,3
30,1289,1361,1346,7
30,1481,1522,1507,4
30,1631,1675,1660,3
30,1795,1846,1831,5
30,1885,1927,1912,3
30,2189,2238,2223,4
30,2365,2406,2391,6
31,171,207,192,3
31,243,277,262,3
31,747,792,777,3
31,866,911,896,5
31,978,1011,996,3
31,1104,1159,1144,5
31,1218,1276,1261,5
31,1361,1396,1381,3
31,1489,1535,1520,5
31,1553,1598,1583,4
31,1685,1723,1708,5
32,129,180,165,3
32,1024,1081,1066,6
32,1193,1255,1240,6
32,1468,1506,1491,4
32,1549,1608,1593,7
32,1665,1704,1689,4
32,1701,1763,1748,6
33,796,829,814,3
33,1050,1100,1085,4
33,1120,1167,1152,3
33,1425,1477,1462,4
33,2080,2123,2108,3
33,2259,2299,2284,3
33,2392,2441,2426,5
33,2500,2546,2531,4
33,2638,2685,2670,4
33,2714,2755,2740,3
33,2952,2992,2977,3
33,3178,3238,3223,6
33,3383,3443,3428,7
34,618,671,656,6
34,775,819,804,3
34,887,941,926,3
34,1169,1214,1199,3
34,1202,1241,1226,5
34,1880,1936,1921,5
35,621,673,658,3
35,682,723,708,4
35,741,791,776,4
35,871,909,894,5
35,958,998,983,4
35,1222,1263,1248,6
35,1381,1429,1414,4
35,1683,1732,1717,6
35,1987,2026,2011,5
36,207,244,229,5
36,492,528,513,3
36,798,843,828,3
36,1131,1203,1188,7
36,1241,1297,1282,7
36,1492,1541,1526,6
36,1531,1582,1567,3
37,359,394,379,3
37,719,786,771,6
37,1349,1397,1382,3
37,1494,1524,1509,3
37,1623,1659,1644,3
37,1720,1758,1743,3
37,1847,1890,1875,3
37,1963,2023,2008,7
37,2109,2155,2140,3
37,2248,2287,2272,3
37,2459,2520,2505,7
37,2700,2752,2737,5
37,2946,2991,2976,3
37,3001,3034,3019,3
38,537,583,568,3
38,658,707,692,4
38,873,918,903,4
38,933,985,970,3
38,974,1010,995,4
38,1043,1092,1077,5
38,2035,2089,2074,7
38,2316,2380,2365,5
38,2522,2568,2553,4
38,2650,2697,2682,3
38,2762,2819,2804,5
39,181,221,206,3
39,673,720,705,3
39,705,751,736,4
39,882,925,910,3
39,1205,1242,1227,3
39,1582,1630,1615,3
39,1653,1693,1678,4
39,1940,1999,1984,6
39,2089,2144,2129,7
39,2266,2320,2305,7
39,2409,2462,2447,4
39,2498,2538,2523,3
39,2659,2698,2683,3
39,2694,2737,2722,3
39,2865,2912,2897,3
39,2976,3019,3004,3
39,3057,3123,3108,8
39,3179,3232,3217,5
39,3224,3257,3242,3
39,3242,3274,3259,3
40,454,507,492,4
40,701,753,738,3
40,1164,1216,1201,7
40,1264,1310,1295,3
40,1515,1562,1547,4
40,1687,1745,1730,5
40,1834,1871,1856,3
40,1992,2030,2015,5
40,2192,2249,2234,7
40,2356,2393,2378,4
40,2434,2516,2501,9
40,2703,2752,2737,6
40,2872,2925,2910,7
41,643,678,663,4
41,688,746,731,6
41,872,910,895,4
41,1133,1171,1156,5
41,1218,1256,1241,3
41,1333,1383,1368,4
41,1515,1567,1552,6
41,1707,1755,1740,3
41,2041,2087,2072,5
41,2114,2177,2162,7
41,2293,2343,2328,6
41,2383,2457,2442,10
42,236,281,266,3
42,503,548,533,3
42,1060,1104,1089,3
42,1155,1192,1177,3
42,1377,1414,1399,3
42,1470,1532,1517,7
42,1647,1690,1675,3
42,1747,1782,1767,3
42,2029,2083,2068,5
42,2068,2117,2102,4
42,2117,2158,2143,3
42,2279,2317,2302,3
42,2466,2515,2500,7
42,2584,2638,2623,6
43,1322,1360,1345,3
43,1457,1505,1490,4
43,1879,1913,1898,3
44,382,428,413,3
44,641,683,668,3
44,809,866,851,5
44,962,1004,989,4
44,1604,1640,1625,3
44,1725,1774,1759,3
44,2408,2456,2441,5
44,2557,2604,2589,4
44,2668,2717,2702,5
44,2957,3019,3004,5
44,3113,3159,3144,3
44,3437,3475,3460,3
44,3694,3737,3722,4
44,4065,4111,4096,3
44,4220,4269,4254,4
44,4291,4334,4319,4
45,253,298,283,3
45,1050,1100,1085,5
45,1483,1524,1509,3
45,1899,1963,1948,8
45,2003,2044,2029,4
45,2096,2162,2147,8
45,2286,2321,2306,3
45,2343,2387,2372,4
45,2545,2590,2575,7
45,2648,2689,2674,3
45,2800,2844,2829,3
45,2866,2903,2888,3
45,2999,3055,3040,5
46,423,466,451,3
46,600,660,645,5
46,712,751,736,3
46,757,819,804,6
46,929,973,958,3
46,1150,1197,1182,3
46,2024,2064,2049,3
46,2212,2255,2240,3
46,2353,2406,2391,3
46,2402,2444,2429,3
46,2516,2552,2537,3
46,2562,2603,2588,3
47,1003,1044,1029,3
47,1204,1249,1234,3
47,1274,1328,1313,6
47,1543,1579,1564,3
48,750,793,778,4
48,910,958,943,6
48,1247,1299,1284,4
48,1582,1643,1628,7
48,1739,1790,1775,5
48,2092,2142,2127,6
48,2421,2458,2443,3
48,2680,2715,2700,3
48,2794,2833,2818,3
49,567,616,601,4
49,859,914,899,5
49,1255,1310,1295,7
49,1426,1482,1467,4
49,1564,1597,1582,3
49,1703,1757,1742,4
49,1743,1778,1763,3
49,2161,2198,2183,3
49,2252,2297,2282,4
49,2338,2378,2363,3
50,537,568,553,3
50,922,974,959,4
50,1074,1107,1092,4
50,1489,1533,1518,6
50,1828,1886,1871,3
50,2084,2131,2116,4
51,216,251,236,3
51,863,911,896,5
51,1044,1095,1080,4
51,1136,1182,1167,6
51,1329,1369,1354,3
51,1471,1516,1501,7
51,1536,1594,1579,7
51,1746,1798,1783,5
51,2090,2136,2121,6
51,2293,2340,2325,5
51,2542,2611,2596,8
51,2628,2668,2653,5
51,2830,2885,2870,6
51,2920,2955,2940,3
51,3082,3146,3131,7
51,3188,3254,3239,8
51,3405,3454,3439,10
52,397,433,418,3
52,630,677,662,4
52,1166,1219,1204,5
52,1303,1358,1343,6
52,1465,1518,1503,6
52,1679,1721,1706,3
52,1819,1865,1850,3
52,1881,1928,1913,3
52,2487,2531,2516,4
52,2693,2765,2750,6
52,2890,2948,2933,7
52,3100,3143,3128,5
52,3303,3341,3326,3
53,239,285,270,3
53,574,631,616,4
53,1000,1058,1043,4
53,1265,1303,1288,6
53,1460,1497,1482,5
53,1587,1638,1623,9
54,1074,1122,1107,6
54,1336,1379,1364,4
54,1612,1648,1633,4
54,1799,1858,1843,4
54,2060,2119,2104,5
54,2344,2396,2381,3
54,2441,2482,2467,5
54,2652,2695,2680,3
55,578,624,609,5
55,840,888,873,6
55,1057,1098,1083,5
55,1695,1729,1714,3
55,1874,1922,1907,7
55,1971,2006,1991,3
55,2136,2174,2159,5
56,394,459,444,5
56,1087,1133,1118,4
56,1260,1307,1292,5
56,1316,1371,1356,6
56,1596,1646,1631,4
56,1652,1708,1693,6
56,1751,1797,1782,3
56,1901,1937,1922,4
56,2109,2150,2135,3
56,2244,2279,2264,5
56,2397,2439,2424,5
56,2424,2467,2452,3
56,2538,2583,2568,4
56,2740,2783,2768,4
56,2828,2877,2862,4
56,3046,3086,3071,4
56,3072,3116,3101,3
56,3410,3449,3434,5
57,102,145,130,3
57,863,901,886,4
57,1183,1237,1222,4
57,1287,1330,1315,3
57,1407,1446,1431,3
57,1495,1537,1522,4
57,1667,1705,1690,4
57,1776,1821,1806,4
57,1821,1862,1847,3
58,444,481,466,3
58,533,575,560,3
58,790,846,831,5
58,1002,1070,1055,5
58,1105,1157,1142,5
58,1277,1321,1306,4
58,1383,1425,1410,4
58,1419,1458,1443,3
58,1505,1547,1532,4
58,1652,1699,1684,3
58,1711,1766,1751,5
58,1914,1953,1938,3
58,2079,2127,2112,6
58,2125,2159,2144,3
58,2469,2527,2512,7
58,2644,2692,2677,5
58,2770,2811,2796,4
58,2897,2952,2937,5
59,600,657,642,5
59,732,772,757,4
59,1115,1150,1135,3
59,1285,1337,1322,8
59,1388,1438,1423,5
59,1517,1564,1549,4
59,1664,1707,1692,4
59,1861,1895,1880,3
59,1881,1932,1917,4
59,2252,2296,2281,3
59,2344,2405,2390,6
59,2746,2804,2789,5
59,2886,2936,2921,4
59,3119,3193,3178,8
60,244,289,274,3
60,320,359,344,3
60,469,515,500,3
60,927,964,949,3
60,1038,1091,1076,4
60,1662,1715,1700,5
60,1804,1875,1860,8
60,2453,2527,2512,8
61,334,370,355,3
61,403,446,431,4
61,510,549,534,5
61,707,758,743,5
61,908,942,927,3
61,1093,1136,1121,4
61,1295,1340,1325,4
61,1572,1621,1606,6
61,1870,1912,1897,4
61,1955,1993,1978,4
62,474,517,502,3
62,626,666,651,4
62,853,897,882,5
62,1136,1185,1170,5
62,1354,1413,1398,5
62,1609,1656,1641,6
62,1783,1823,1808,4
62,1923,1975,1960,4
62,2093,2150,2135,4
62,2169,2217,2202,3
63,482,517,502,3
63,626,663,648,3
63,735,805,790,6
63,1072,1117,1102,3
63,1152,1193,1178,4
63,1517,1566,1551,3
63,1886,1941,1926,7
63,2119,2171,2156,4
63,2486,2553,2538,7
64,579,627,612,4
64,811,862,847,6
64,953,1005,990,4
64,1079,1126,1111,7
64,1486,1527,1512,4
64,1787,1856,1841,8
64,2001,2038,2023,3
64,2128,2165,2150,5
64,2255,2303,2288,5
65,394,450,435,3
65,449,512,497,4
65,954,990,975,3
65,1266,1314,1299,5
65,1411,1441,1426,3
65,1606,1654,1639,3
65,1708,1744,1729,3
65,1847,1903,1888,6
65,2018,2064,2049,5
66,170,209,194,3
66,377,418,403,3
66,485,529,514,3
66,720,765,750,3
66,809,859,844,5
66,1236,1269,1254,3
66,1284,1324,1309,3
66,1475,1521,1506,5
66,1718,1770,1755,6
66,1811,1858,1843,4
66,2221,2266,2251,5
66,2369,2421,2406,3
66,2589,2644,2629,8
66,2793,2856,2841,8
66,2963,3012,2997,5
66,3037,3082,3067,3
67,199,245,230,3
67,356,414,399,3
67,462,501,486,3
67,522,561,546,3
67,674,704,689,3
67,726,771,756,4
67,843,892,877,3
67,883,927,912,3
67,1066,1125,1110,4
67,1224,1262,1247,3
67,1380,1439,1424,5
67,1480,1537,1522,6
67,1545,1587,1572,4
67,1597,1662,1647,6
67,1943,1995,1980,6
67,2039,2080,2065,4
68,604,650,635,4
68,760,816,801,4
68,953,1002,987,4
68,1453,1507,1492,4
68,1618,1663,1648,3
69,232,274,259,3
69,762,814,799,6
69,986,1032,1017,6
69,1205,1255,1240,5
69,1413,1449,1434,3
69,2024,2060,2045,5
69,2355,2401,2386,4
69,2414,2467,2452,5
69,2752,2803,2788,4
70,267,301,286,3
70,648,693,678,4
70,1107,1149,1134,4
70,1297,1333,1318,3
70,1477,1525,1510,6
70,1554,1607,1592,6
70,1768,1808,1793,7
70,1884,1932,1917,6
70,2019,2055,2040,4
70,2191,2243,2228,5
71,499,534,519,3
71,651,696,681,6
71,838,895,880,5
71,1477,1523,1508,5
71,1539,1585,1570,4
72,113,149,134,3
72,699,740,725,3
72,1290,1334,1319,3
72,1382,1424,1409,3
72,1429,1471,1456,4
72,1855,1905,1890,5
72,2079,2129,2114,4
72,2485,2526,2511,3
72,2969,3004,2989,3
72,3052,3111,3096,6
73,538,585,570,4
73,796,852,837,4
73,1042,1084,1069,3
73,1139,1183,1168,3
73,1289,1328,1313,3
73,1481,1527,1512,3
73,1513,1546,1531,3
73,1838,1895,1880,7
73,1936,2000,1985,7
73,1992,2049,2034,3
73,2202,2243,2228,4
73,2613,2665,2650,5
73,2715,2754,2739,3
73,2853,2914,2899,4
74,64,108,93,3
74,670,717,702,4
74,888,933,918,3
74,949,986,971,4
74,982,1021,1006,3
74,1074,1136,1121,7
74,1419,1458,1443,7
74,1549,1590,1575,4
74,1937,1985,1970,3
74,2066,2102,2087,3
74,2319,2389,2374,10
74,2602,2660,2645,7
74,2713,2759,2744,4
74,2922,2964,2949,5
75,165,203,188,3
75,390,430,415,3
75,773,825,810,5
75,901,948,933,4
75,1078,1123,1108,3
75,1269,1319,1304,6
75,1874,1927,1912,4
75,1978,2044,2029,7
75,2174,2226,2211,5
75,2333,2386,2371,3
75,2374,2416,2401,5
75,2601,2638,2623,3
75,2700,2762,2747,6
76,482,522,507,3
76,514,546,531,3
76,629,669,654,4
76,747,796,781,5
76,838,900,885,7
76,1006,1053,1038,4
76,1126,1173,1158,6
76,1293,1329,1314,5
76,1589,1643,1628,9
76,1728,1780,1765,4
76,1896,1943,1928,7
76,1972,2026,2011,4
76,2110,2145,2130,5
76,2188,2230,2215,6
77,602,661,646,5
77,844,885,870,3
77,1282,1326,1311,3
77,2103,2140,2125,4
77,2176,2233,2218,5
78,201,237,222,3
78,237,275,260,3
78,365,401,386,3
78,795,834,819,3
78,932,994,979,4
78,1469,1516,1501,5
78,1547,1615,1600,6
78,1687,1727,1712,3
78,1856,1894,1879,3
78,1955,2013,1998,5
78,2187,2229,2214,5
78,2351,2397,2382,3
78,2437,2482,2467,5
78,2574,2624,2609,3
78,2748,2782,2767,3
78,2964,3016,3001,8
78,3721,3763,3748,4
78,3750,3802,3787,4
79,993,1030,1015,4
79,1072,1115,1100,4
79,1232,1276,1261,6
79,1524,1565,1550,5
79,1648,1701,1686,5
79,1845,1885,1870,3
79,1932,1971,1956,4
79,2163,2204,2189,5
80,463,494,479,3
80,719,763,748,5
80,1200,1258,1243,4
80,1427,1485,1470,7
80,1633,1666,1651,3
80,2354,2389,2374,4
80,2423,2466,2451,4
80,2517,2572,2557,5
80,2750,2802,2787,6
80,2975,3019,3004,6
80,3131,3184,3169,6
80,3232,3268,3253,3
80,3305,3358,3343,7
80,3660,3706,3691,5
80,3788,3827,3812,4
80,4039,4096,4081,7
80,4178,4223,4208,4
81,175,231,216,5
81,415,459,444,4
81,578,616,601,4
81,629,678,663,4
81,852,902,887,4
81,943,978,963,4
81,1287,1326,1311,3
81,1828,1882,1867,7
81,2132,2182,2167,4
81,2212,2279,2264,7
81,2369,2414,2399,5
81,2448,2490,2475,3
81,2575,2629,2614,4
82,228,271,256,3
82,518,553,538,3
82,1008,1061,1046,6
82,1151,1194,1179,6
82,1345,1394,1379,6
82,1590,1626,1611,3
82,1811,1859,1844,5
82,2002,2046,2031,5
82,2117,2154,2139,5
83,897,939,924,4
83,1229,1281,1266,6
83,1588,1653,1638,6
83,2084,2118,2103,3
83,2141,2184,2169,4
83,2265,2302,2287,3
84,910,945,930,3
84,969,1031,1016,7
84,1126,1180,1165,6
84,1207,1272,1257,6
84,1390,1431,1416,3
84,1541,1592,1577,6
84,1868,1920,1905,6
85,394,435,420,3
85,476,510,495,3
85,630,664,649,3
85,771,808,793,3
85,1027,1096,1081,6
85,1213,1257,1242,6
85,1389,1431,1416,3
85,1549,1580,1565,4
85,1702,1749,1734,4
85,2016,2054,2039,3
85,2338,2388,2373,6
85,2613,2669,2654,5
85,2740,2774,2759,3
85,2870,2919,2904,6
85,3042,3085,3070,4
86,1085,1123,1108,3
86,1111,1148,1133,4
86,1204,1254,1239,4
86,1248,1315,1300,5
86,1383,1438,1423,5
87,663,710,695,5
87,1082,1131,1116,3
87,1249,1294,1279,4
87,1526,1558,1543,3
87,1565,1624,1609,5
87,1799,1836,1821,3
87,1832,1899,1884,7
87,1907,1943,1928,3
87,2017,2071,2056,5
87,2118,2174,2159,8
88,122,167,152,3
88,1255,1290,1275,3
88,1581,1613,1598,3
88,1904,1943,1928,5
88,2060,2117,2102,6
88,2193,2231,2216,4
88,2506,2544,2529,3
88,2679,2722,2707,4
88,3046,3095,3080,4
88,3350,3411,3396,4
89,820,857,842,3
89,928,996,981,5
89,1143,1177,1162,3
89,1197,1235,1220,3
89,1313,1363,1348,3
89,1413,1459,1444,4
89,1511,1556,1541,3
89,1664,1719,1704,5
89,1936,1975,1960,3
89,2065,2114,2099,7
89,2212,2263,2248,5
89,2573,2609,2594,3
89,2602,2645,2630,3
89,2782,2827,2812,3
89,2825,2865,2850,3
89,2993,3048,3033,7
89,3045,3083,3068,3
89,3136,3175,3160,4
90,530,589,574,4
90,605,650,635,3
90,726,775,760,4
90,801,845,830,5
90,946,1004,989,6
90,1110,1154,1139,7
90,1236,1283,1268,5
90,1372,1410,1395,6
90,1529,1574,1559,4
90,1762,1816,1801,5
90,2046,2082,2067,6
90,2289,2335,2320,4
90,2561,2624,2609,5
91,85,139,124,3
91,656,704,689,5
91,716,770,755,4
91,780,830,815,5
91,888,930,915,3
91,1156,1189,1174,3
91,1381,1419,1404,3
91,1999,2038,2023,3
91,2092,2128,2113,3
91,2297,2345,2330,6
91,2351,2392,2377,3
91,2445,2487,2472,4
91,2481,2531,2516,3
91,2703,2748,2733,6
92,337,375,360,3
92,853,909,894,5
92,1041,1087,1072,4
92,1195,1240,1225,3
92,1425,1482,1467,6
92,1624,1662,1647,3
92,1850,1890,1875,4
92,1938,1985,1970,3
92,2113,2170,2155,8
92,2255,2291,2276,4
93,739,771,756,4
93,950,1001,986,3
93,1210,1258,1243,5
93,1341,1380,1365,4
93,1439,1493,1478,5
93,1716,1752,1737,3
93,1838,1886,1871,3
93,2268,2303,2288,3
93,2366,2418,2403,4
93,2555,2594,2579,4
94,137,176,161,3
94,362,409,394,4
94,643,687,672,5
94,1024,1075,1060,4
94,1111,1154,1139,5
94,1327,1382,1367,5
94,1471,1508,1493,4
94,1577,1618,1603,6
94,1741,1779,1764,5
94,1871,1912,1897,4
94,1960,2022,2007,8
94,2133,2172,2157,4
94,2234,2290,2275,5
94,2339,2385,2370,3
95,150,187,172,3
95,451,483,468,3
95,494,531,516,3
95,708,763,748,3
95,1122,1169,1154,6
95,1228,1275,1260,3
95,1526,1560,1545,4
95,1706,1748,1733,5
96,420,471,456,4
96,638,678,663,4
96,774,813,798,3
96,875,938,923,5
96,1168,1213,1198,3
96,1226,1260,1245,3
96,1280,1328,1313,6
96,1464,1516,1501,6
96,1629,1667,1652,6
96,1704,1747,1732,6
96,1842,1900,1885,7
96,2001,2031,2016,3
96,2019,2059,2044,3
96,2101,2139,2124,6
97,505,554,539,3
97,582,639,624,5
97,1047,1110,1095,5
97,1399,1445,1430,4
97,1842,1882,1867,5
97,1975,2015,2000,4
97,2165,2209,2194,3
97,2389,2424,2409,3
97,2535,2582,2567,4
97,2768,2835,2820,7
98,206,244,229,3
98,964,1014,999,4
98,1155,1191,1176,5
98,1436,1495,1480,5
99,778,816,801,4
99,807,845,830,3
99,918,954,939,4
99,1054,1092,1077,3
99,1139,1192,1177,4
99,1420,1462,1447,4
100,601,651,636,4
100,721,778,763,4
100,938,981,966,6
100,1028,1087,1072,8
100,1322,1385,1370,6
100,1497,1546,1531,7
100,1646,1687,1672,3
100,1890,1944,1929,4
100,2000,2054,2039,6
100,2094,2143,2128,3
100,2262,2299,2284,5
100,2343,2398,2383,7
